Moisture,Temparature,Humidity,soil temperature
64,27.6,35,21.62
64,27.6,34.9,21.69
64,27.6,34.8,21.69
64,27.6,34.8,21.62
63,27.6,34.8,21.62
63,27.5,34.7,21.62
63,27.5,34.7,21.62
63,27.6,34.5,21.56
63,27.4,34.6,21.62
63,27.5,34.5,21.62
63,27.4,34.5,21.62
63,27.5,34.4,21.56
63,27.5,34.4,21.56
63,27.4,34.6,21.62
63,27.5,34.6,21.62
62,27.5,34.5,21.56
62,27.4,34.7,21.62
62,27.5,34.6,21.56
62,27.4,34.7,21.56
62,27.5,34.5,21.56
62,27.4,34.7,21.62
62,27.5,34.4,21.56
61,27.4,34.5,21.62
61,27.4,34.4,21.62
61,27.4,34.5,21.62
61,27.5,34.6,21.62
61,27.4,34.7,21.56
61,27.4,34.7,21.62
61,27.4,34.9,21.62
61,27.4,36.5,21.56
61,27.5,37.4,21.62
61,27.4,37.1,21.75
61,27.5,36.8,21.87
61,27.5,36.6,21.94
60,27.5,36.5,22
60,27.5,36.5,22.13
60,27.6,36.6,22.19
60,27.2,37,22.13
60,27.2,35.7,22.06
60,27.2,34.6,21.94
60,27.2,34.4,21.87
60,27.6,33.8,21.87
60,27.6,34,21.94
60,27.6,33.3,21.94
60,27.7,32.7,22.06
60,27.8,31.7,22.13
60,28,31.2,22.25
60,28,31.6,22.31
